from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a5768fae8f6db_0x72647a45ab4b3e5d,0.83,1,3,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a576ec4adf12f_0x8bc15b7c58c80beb,0.91,1,4,car
0x2e7a576c91b42bc9_0x3d6b43545f6606be,0x2e7a576eea89f16d_0x1dfe6411e397bf68,0.94,1,4,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af2abadcb6163_0x6799137dfe3c152f,0.24,0,1,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af2aa0fc59bf7_0x90f403846e266202,0.34,1,1,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af2a799c07801_0xe241bfc198c0791a,0.82,1,3,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af2a39a0f77ef_0xf43f0e20f44edb20,1.41,2,6,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af352cbf7ce9f_0x483193e6dcfc35f,2.06,3,8,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7af2f6d8b5d15b_0x549a0610df100d87,4.79,7,19,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7a8d0e4231ccbd_0xc75bc33e52f2b89b,5.81,9,23,car
0x2e7af2aa2491a3a7_0xd4870be02a70b93b,0x2e7a8d00206eb8ad_0x992ba6155743be09,6.79,10,27,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a576dd45f6243_0x47c4825dd428cf01,0.35,1,1,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a5700d26f3791_0x2438d479031fe746,0.37,1,1,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a576eea89f16d_0x1dfe6411e397bf68,0.62,1,2,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a576c91b42bc9_0x3d6b43545f6606be,0.68,1,3,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a576ec4adf12f_0x8bc15b7c58c80beb,0.7,1,3,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a570ccf98e45d_0xa2a45b8fad610e20,0.74,1,3,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a57733faba62f_0x549b89f4ce016d6b,0.76,1,3,car
0x2e7a57e2083b1b59_0xd58c23699705d0d0,0x2e7a5768fae8f6db_0x72647a45ab4b3e5d,0.84,1,3,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a57197ec64d59_0x290b8a7ccadf5a14,0.55,1,2,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a571c6efb47ad_0x9f88b30f2819abae,0.57,1,2,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a578745ed84bd_0x734b60db82df9e4e,0.59,1,2,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a5700118ca9db_0x7b4f5c22368383de,0.65,1,3,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a57176aa7d649_0x6d321a510592e5c1,0.72,1,3,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a570345c234dd_0x80372ea75c77707e,0.82,1,3,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a57d8e16ffed3_0x9e386c8e65903ad4,0.84,1,3,car
0x2e7a5796dd76a631_0xe42517672992f577,0x2e7a57412a107b63_0x2a90d5c3849738d9,0.88,1,4,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a57a3dd9adba5_0x7ae739af3260c383,0.31,0,1,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a57007ccee1bd_0xbff5b7cf67117bb8,0.31,0,1,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a5787c6b29af1_0x1f7614c79a234797,0.42,1,2,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a570f12660c6b_0x6f3c9c41e302a35a,0.53,1,2,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a57a310539101_0x5f7a486c7fd128ce,0.55,1,2,car
0x2e7a57bd08af372b_0xdf3da9df88198ee6,0x2e7a57a30fd5198d_0xde8b536c227fce5a,0.55,1,2,car
